analyte_id,delta_comparison,W_statistic,p_value,q_value,significant,median_delta,log2fc,n_pairs,excluded
IGSF3,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,1.601671798552556,38.91402832391493,35,False
FOLR1,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.4770551286185012,36.27302340381685,35,False
TGFB1,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.9762944022842476,38.737353279106735,35,False
FLT4,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.8456706804728503,38.24793888378516,35,False
GDF15,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,1.0354726606277262,38.50705900772146,35,False
CSF1R,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.7500941403741374,38.28384766058138,35,False
GM2A,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.397621081993957,36.61510410051753,35,False
NECTIN4,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,1.0826334509120779,38.54572703915734,35,False
GRN,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.9808810366317802,38.5297182523233,35,False
TFF2,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,1.1028173497689804,39.18973414470243,35,False
CRIM1,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,1.060490648839335,38.70463463010165,35,False
HAVCR1,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.40419427668439556,3.002209365188661,35,False
CRH,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,3.4655042102141236,41.184465983997924,35,False
SEMA3G,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.3849797312798809,37.35242604860595,35,False
VWA1,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.7063070128465957,37.469922794731765,35,False
SDC1,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,1.746004995513774,38.65436454409474,35,False
INSL4,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,1.1441495367762744,35.21667632298745,35,False
TFF3,3_minus_2,0.0,5.820766091346741e-11,9.106265174018011e-09,True,0.7850003930246117,37.790003258456935,35,False
PCDH7,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.9404217461980258,38.044852011665846,35,False
SPINT1,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,1.1244274758027806,37.79580583993451,35,False
NRCAM,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.7984829031966163,37.34002725468706,35,False
DDR1,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.9892757418346018,37.7214993280538,35,False
FAM171B,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.5132954856275033,36.80916315011308,35,False
STC2,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,-1.1750496158767394,-39.65229949204973,35,False
CSF2RA,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.7271728291921781,37.0054476154141,35,False
LYPD3,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.5243839546263562,37.471918101526526,35,False
TREML2,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.7546394221266219,38.35662993596577,35,False
PRSS8,3_minus_2,1.0,1.1641532182693481e-10,1.1708055223737444e-08,True,0.8188267027222935,37.82511476773478,35,False
CD274,3_minus_2,2.0,1.7462298274040222e-10,1.5366822481155396e-08,True,0.8044947101874452,38.95725885919617,35,False
NID1,3_minus_2,2.0,1.7462298274040222e-10,1.5366822481155396e-08,True,0.6000357583910271,37.76532668952076,35,False
HSPB6,3_minus_2,2.0,1.7462298274040222e-10,1.5366822481155396e-08,True,0.6793077471898729,38.29456186177386,35,False
FGL1,3_minus_2,2.0,1.7462298274040222e-10,1.5366822481155396e-08,True,0.43634915157133947,37.724928405330616,35,False
TFPI2,3_minus_2,3.0,2.9103830456733704e-10,2.156747014899003e-08,True,0.6821294878642066,37.46066365411055,35,False
PRTG,3_minus_2,3.0,2.9103830456733704e-10,2.156747014899003e-08,True,0.539970991786592,37.688508768050625,35,False
TINAGL1,3_minus_2,3.0,2.9103830456733704e-10,2.156747014899003e-08,True,0.728495916768435,38.10992504586033,35,False
CKAP4,3_minus_2,3.0,2.9103830456733704e-10,2.156747014899003e-08,True,0.43129401742344353,37.698515050730286,35,False
DPEP2,3_minus_2,3.0,2.9103830456733704e-10,2.156747014899003e-08,True,0.7395308284445224,37.89526364446439,35,False
ST3GAL1,3_minus_2,3.0,2.9103830456733704e-10,2.156747014899003e-08,True,0.4897237359963983,36.683671135116754,35,False
ARTN,3_minus_2,4.0,4.0745362639427185e-10,2.942024133144281e-08,True,0.9156729081731263,37.99461473704893,35,False
SIL1,3_minus_2,5.0,5.820766091346741e-10,3.902685074579148e-08,True,0.5004585593233021,37.298829390646375,35,False
IGFBP4,3_minus_2,5.0,5.820766091346741e-10,3.902685074579148e-08,True,0.48212232009228195,36.304523524749726,35,False
IGFBPL1,3_minus_2,5.0,5.820766091346741e-10,3.902685074579148e-08,True,0.509774483816321,38.024421490521895,35,False
SGSH,3_minus_2,6.0,8.149072527885437e-10,4.9886496170707374e-08,True,1.205116212398044,39.096574731114785,35,False
PLAU,3_minus_2,6.0,8.149072527885437e-10,4.9886496170707374e-08,True,0.6884327289187946,37.924537867824306,35,False
FURIN,3_minus_2,6.0,8.149072527885437e-10,4.9886496170707374e-08,True,0.5487482154825923,37.994182452374964,35,False
CSH1,3_minus_2,6.0,8.149072527885437e-10,4.9886496170707374e-08,True,1.2954813757472474,38.54416587247988,35,False
